print_product_type	size_id	designer_supported	proof_supported	render_mask	render_overlay	output_format	allow_multipage_output	trim_round_corner_radius	safe_round_corner_radius
10015	10249	2	2	1	1	0	0	0	0
10015	10254	2	2	0	0	0	0	0.75	0.75
10015	10269	2	2	0	0	0	0	0.75	0.75
10015	10212	2	2	0	0	0	0	0.75	0.75
10015	10220	2	2	0	0	0	0	0.75	0.75
10015	10227	2	2	0	0	0	0	0.75	0.75
10015	10233	2	2	0	0	0	0	0.75	0.75
10015	10241	2	2	0	0	0	0	0.75	0.75
10015	10248	2	2	0	0	0	0	0.75	0.75
10015	10252	2	2	1	1	0	0	0	0
10015	10259	2	2	0	0	0	0	0.75	0.75
10016	10212	2	2	0	0	0	0	0.75	0.75
10016	10220	2	2	0	0	0	0	0.75	0.75
10016	10227	2	2	0	0	0	0	0.75	0.75
10016	10233	2	2	0	0	0	0	0.75	0.75
10016	10241	2	2	0	0	0	0	0.75	0.75
10016	10248	2	2	0	0	0	0	0.75	0.75
10016	10252	2	2	1	1	0	0	0	0
10016	10259	2	2	0	0	0	0	0.75	0.75
10016	NULL	2	2	0	0	0	0	0	0
10016	10217	2	2	0	0	0	0	0.75	0.75
10016	10224	2	2	1	1	0	0	0	0
10016	10232	2	2	0	0	0	0	0.75	0.75
10016	10240	2	2	0	0	0	0	0.75	0.75
10016	10246	2	2	0	0	0	0	0.75	0.75
10016	10251	2	2	1	1	0	0	0	0
10016	10258	2	2	0	0	0	0	0.75	0.75
10016	10216	2	2	0	0	0	0	0.75	0.75
10016	10223	2	2	0	0	0	0	0.75	0.75
10016	10229	2	2	1	1	0	0	0	0
10016	10237	2	2	0	0	0	0	0.75	0.75
10016	10245	2	2	0	0	0	0	0.75	0.75
10016	10250	2	2	1	1	0	0	0	0
10016	10255	2	2	1	1	0	0	0	0
10016	10213	2	2	0	0	0	0	0.75	0.75
10016	10221	2	2	0	0	0	0	0.75	0.75
10016	10228	2	2	0	0	0	0	0.75	0.75
10016	10236	2	2	0	0	0	0	0.75	0.75
10016	10242	2	2	1	1	0	0	0	0
10016	10249	2	2	1	1	0	0	0	0
10016	10254	2	2	0	0	0	0	0.75	0.75
10017	10213	2	2	0	0	0	0	0.75	0.75
10017	10221	2	2	0	0	0	0	0.75	0.75
10017	10228	2	2	0	0	0	0	0.75	0.75
10017	10236	2	2	0	0	0	0	0.75	0.75
10017	10242	2	2	1	1	0	0	0	0
10017	10249	2	2	1	1	0	0	0	0
10017	10254	2	2	0	0	0	0	0.75	0.75
10017	10212	2	2	0	0	0	0	0.75	0.75
10017	10220	2	2	0	0	0	0	0.75	0.75
10017	10227	2	2	0	0	0	0	0.75	0.75
10017	10233	2	2	0	0	0	0	0.75	0.75
10017	10241	2	2	0	0	0	0	0.75	0.75
10017	10248	2	2	0	0	0	0	0.75	0.75
10017	10252	2	2	1	1	0	0	0	0
10017	10259	2	2	0	0	0	0	0.75	0.75
10017	NULL	2	2	0	0	0	0	0	0
10017	10217	2	2	0	0	0	0	0.75	0.75
10017	10224	2	2	1	1	0	0	0	0
10017	10232	2	2	0	0	0	0	0.75	0.75
10017	10240	2	2	0	0	0	0	0.75	0.75
10017	10246	2	2	0	0	0	0	0.75	0.75
10017	10251	2	2	1	1	0	0	0	0
10017	10258	2	2	0	0	0	0	0.75	0.75
10017	10216	2	2	0	0	0	0	0.75	0.75
10017	10223	2	2	0	0	0	0	0.75	0.75
10017	10229	2	2	1	1	0	0	0	0
10017	10237	2	2	0	0	0	0	0.75	0.75
10017	10245	2	2	0	0	0	0	0.75	0.75
10017	10250	2	2	1	1	0	0	0	0
10017	10255	2	2	1	1	0	0	0	0
10019	10213	2	2	0	0	0	0	0.75	0.75
10019	10221	2	2	0	0	0	0	0.75	0.75
10019	10228	2	2	0	0	0	0	0.75	0.75
10019	10236	2	2	0	0	0	0	0.75	0.75
10019	10242	2	2	1	1	0	0	0	0
10019	10249	2	2	1	1	0	0	0	0
10019	10254	2	2	0	0	0	0	0.75	0.75
10019	10212	2	2	0	0	0	0	0.75	0.75
10019	10220	2	2	0	0	0	0	0.75	0.75
10019	10227	2	2	0	0	0	0	0.75	0.75
10019	10233	2	2	0	0	0	0	0.75	0.75
10019	10241	2	2	0	0	0	0	0.75	0.75
10019	10248	2	2	0	0	0	0	0.75	0.75
10019	10252	2	2	1	1	0	0	0	0
10019	10259	2	2	0	0	0	0	0.75	0.75
10019	NULL	2	2	0	0	0	0	0	0
10019	10217	2	2	0	0	0	0	0.75	0.75
10019	10224	2	2	1	1	0	0	0	0
10019	10232	2	2	0	0	0	0	0.75	0.75
10019	10240	2	2	0	0	0	0	0.75	0.75
10019	10246	2	2	0	0	0	0	0.75	0.75
10019	10251	2	2	1	1	0	0	0	0
10019	10258	2	2	0	0	0	0	0.75	0.75
10019	10216	2	2	0	0	0	0	0.75	0.75
10019	10223	2	2	0	0	0	0	0.75	0.75
10019	10229	2	2	1	1	0	0	0	0
10019	10237	2	2	0	0	0	0	0.75	0.75
10019	10245	2	2	0	0	0	0	0.75	0.75
10019	10250	2	2	1	1	0	0	0	0
10019	10255	2	2	1	1	0	0	0	0
10020	10300	2	2	0	0	0	0	0.75	0.75
10020	10332	2	2	0	0	0	0	0.75	0.75
10020	10355	2	2	1	1	0	0	0	0
10020	10291	2	2	0	0	0	0	0.75	0.75
10020	10323	2	2	0	0	0	0	0.75	0.75
10020	10350	2	2	1	1	0	0	0	0
10020	10366	2	2	1	1	0	0	0	0
10020	10281	2	2	0	0	0	0	0.75	0.75
10020	10312	2	2	0	0	0	0	0.75	0.75
10020	10345	2	2	0	0	0	0	0.75	0.75
10020	10361	2	2	1	1	0	0	0	0
10020	NULL	2	2	0	0	0	0	0	0
10020	10303	2	2	0	0	0	0	0.75	0.75
10020	10334	2	2	0	0	0	0	0.75	0.75
10020	10356	2	2	1	1	0	0	0	0
10020	10292	2	2	0	0	0	0	0.75	0.75
10020	10324	2	2	0	0	0	0	0.75	0.75
10020	10351	2	2	1	1	0	0	0	0
10020	10367	2	2	1	1	0	0	0	0
10020	10282	2	2	0	0	0	0	0.75	0.75
10020	10315	2	2	0	0	0	0	0.75	0.75
10020	10346	2	2	0	0	0	0	0.75	0.75
10020	10362	2	2	1	1	0	0	0	0
10020	10273	2	2	0	0	0	0	0.75	0.75
10020	10304	2	2	0	0	0	0	0.75	0.75
10020	10337	2	2	0	0	0	0	0.75	0.75
10020	10357	2	2	1	1	0	0	0	0
10020	10295	2	2	0	0	0	0	0.75	0.75
10020	10327	2	2	0	0	0	0	0.75	0.75
10020	10352	2	2	1	1	0	0	0	0
10020	10285	2	2	0	0	0	0	0.75	0.75
10020	10316	2	2	0	0	0	0	0.75	0.75
10020	10347	2	2	1	1	0	0	0	0
10020	10363	2	2	1	1	0	0	0	0
10020	10274	2	2	0	0	0	0	0.75	0.75
10020	10307	2	2	0	0	0	0	0.75	0.75
10020	10338	2	2	0	0	0	0	0.75	0.75
10020	10358	2	2	1	1	0	0	0	0
10020	10296	2	2	0	0	0	0	0.75	0.75
10020	10328	2	2	0	0	0	0	0.75	0.75
10020	10353	2	2	1	1	0	0	0	0
10020	10286	2	2	0	0	0	0	0.75	0.75
10020	10319	2	2	0	0	0	0	0.75	0.75
10020	10348	2	2	1	1	0	0	0	0
10020	10364	2	2	1	1	0	0	0	0
10020	10277	2	2	0	0	0	0	0.75	0.75
10020	10308	2	2	0	0	0	0	0.75	0.75
10020	10341	2	2	0	0	0	0	0.75	0.75
10020	10359	2	2	1	1	0	0	0	0
10020	10299	2	2	0	0	0	0	0.75	0.75
10020	10331	2	2	0	0	0	0	0.75	0.75
10020	10354	2	2	1	1	0	0	0	0
10020	10288	2	2	0	0	0	0	0.75	0.75
10020	10320	2	2	0	0	0	0	0.75	0.75
10020	10349	2	2	1	1	0	0	0	0
10020	10365	2	2	1	1	0	0	0	0
10020	10278	2	2	0	0	0	0	0.75	0.75
10020	10310	2	2	0	0	0	0	0.75	0.75
10020	10342	2	2	0	0	0	0	0.75	0.75
10020	10360	2	2	1	1	0	0	0	0
